Crop year,,1990/91,1991/92,1992/93,1993/94,1994/95,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18
Cameroon,(R/A),"1,682","1,726",260,683,406,660,"1,432",889,"1,114","1,370","1,113",686,801,900,727,870,818,795,725,902,527,669,371,404,483,391,295,375
Central African Republic,(R),175,125,134,166,250,108,208,114,215,241,113,68,92,43,29,23,114,43,60,112,78,91,23,90,63,100,61,50
Colombia,(A),"14,268","17,815","15,189","10,298","12,862","12,963","10,719","12,219","10,979","9,679","10,400","11,962","11,735","11,230","11,573","12,564","11,759","12,515","8,663","8,098","8,523","7,652","9,927","12,163","13,339","14,009","14,634","14,000"
"Congo, Dem. Rep. of",(R/A),"1,580","1,230","1,180",980,"1,298","1,098",795,811,738,477,363,423,338,451,360,336,378,416,422,346,305,357,334,347,335,371,324,335
Costa Rica,(A),"2,562","2,760","2,998","2,359","2,482","2,844","2,222","2,617","2,445","2,485","2,419","2,247","2,043","1,886","1,876","1,653","1,706","1,797","1,500","1,477","1,614","1,831","1,823","1,552","1,475","1,440","1,372","1,560"
Côte d'Ivoire,(R),"2,940","4,129","2,246","2,293","3,006","2,532","4,859","4,164","1,992","6,320","4,846","3,595","3,145","2,689","2,268","1,691","2,177","2,317","2,397","1,795",982,"1,966","2,072","2,107","1,750","1,882","1,234","1,500"
El Salvador,(A),"2,465","2,198","3,001","2,378","2,293","2,585","2,534","2,175","2,055","2,598","1,704","1,694","1,361","1,380","1,197","1,319","1,234","1,505","1,450","1,075","1,873","1,164","1,240",515,665,565,610,740
Equatorial Guinea,(R),4,3,2,0,3,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,(A),"2,909","2,925","1,825","2,967","2,763","3,165","3,407","3,057","2,928","3,784","3,115","4,044","4,094","4,394","5,213","4,779","5,551","5,967","4,949","6,931","7,500","6,798","6,233","6,427","6,575","6,714","7,297","7,650"
Gabon,(R),3,2,3,3,8,2,1,3,4,2,0,1,1,0,0,1,1,1,2,0,2,1,1,0,1,1,1,1
Ghana,(R),38,76,37,45,57,57,32,27,54,89,76,7,34,18,18,12,20,35,26,37,92,94,82,45,19,13,14,16
Guatemala,(A/R),"3,271","3,497","4,318","3,536","3,787","4,002","4,525","4,219","4,893","5,120","4,940","3,669","4,070","3,610","3,703","3,676","3,950","4,100","3,785","3,835","3,950","3,850","3,763","3,189","3,310","3,410","3,684","3,800"
Guinea,(R),44,91,76,64,198,104,148,172,421,364,400,236,328,366,316,525,473,323,505,499,386,386,234,101,165,246,219,215
Guyana,(R),,,,,,,,,6,5,3,5,5,5,6,7,8,9,10,9,9,10,10,2,9,11,11,10
Honduras,(A),"1,568","2,322","1,918","1,829","2,181","1,909","2,004","2,564","2,195","2,985","2,667","3,036","2,496","2,968","2,575","3,204","3,461","3,640","3,450","3,603","4,331","5,882","4,686","4,583","5,268","5,786","7,457","8,349"
India,(R/A),"2,829","3,000","2,823","3,533","3,002","3,717","3,417","3,805","4,417","4,867","5,020","5,010","4,588","4,508","4,592","4,567","4,800","4,367","4,378","4,827","5,033","5,233","5,303","5,075","5,450","5,800","5,200","5,840"
Jamaica,(A),23,39,26,34,45,43,54,47,29,38,37,31,37,37,21,34,40,20,32,25,21,24,24,20,21,20,18,17
Kenya,(A),"1,485","1,514","1,316","1,328","1,663","1,664","1,247",882,"1,173","1,502","1,002",991,945,673,736,660,826,652,541,630,641,757,875,838,765,789,783,790
