Crop year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Lao, People's Dem. Rep. of",98,101,132,150,162,149,119,111,171,239,212,258,244,258,244,140,251,253,257,291,400,364,391,388,349,361,288
Liberia,,,,,,,,,13,7,7,7,7,0,1,0,2,2,7,8,5,5,5,1,2,6,0
Mexico,"3,526","3,290","2,885","3,271","3,258","4,579","4,384","3,883","4,136","5,164","3,637","2,893","2,562","2,423","1,907","2,508","2,893","2,555","2,775","2,567","2,727","3,392","3,353","2,457","2,458","2,311","2,831"
Nepal,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,3,4,2,2,1,3,2,1,1,2,2,1
Nicaragua,420,593,517,591,564,898,702,956,955,"1,324","1,445",920,978,"1,270","1,015","1,427","1,213","1,640","1,433","1,696","1,536","1,676","1,980","1,823","1,810","1,946","2,340"
Nigeria,2,9,13,5,12,13,6,5,13,5,9,4,10,6,5,29,11,2,2,2,2,7,1,1,3,1,1
Panama,130,105,150,94,144,151,118,142,147,78,70,78,84,105,81,109,112,119,65,64,56,49,49,48,43,60,37
Sierra Leone,87,74,43,64,68,36,33,45,22,47,34,74,37,31,17,55,34,37,66,98,28,74,56,27,41,41,31
Sri Lanka,33,20,7,48,22,17,20,20,27,3,4,3,5,8,3,6,4,3,1,2,2,1,0,2,1,1,1
Thailand,433,"1,183","1,042","1,105","1,209",893,"1,103",785,417,962,"1,184",260,199,349,342,623,384,150,184,289,328,329,113,26,323,536,264
Togo,181,316,214,194,199,84,290,178,310,279,195,114,78,152,150,126,147,134,142,202,159,151,83,134,183,73,31
Trinidad & Tobago,12,2,5,10,4,4,4,5,4,3,2,2,3,2,1,1,1,1,0,0,0,1,2,2,2,2,2
Uganda,"2,085","2,013","2,010","3,067","2,793","4,214","4,237","3,032","3,648","2,917","3,075","3,153","2,810","2,523","2,489","2,002","2,704","3,210","3,054","2,669","3,150","2,727","3,583","3,500","3,455","3,316","4,605"
Venezuela,132,113,479,446,66,454,184,80,582,113,26,131,297,180,29,48,68,146,22,19,2,2,2,4,0,1,0
Vietnam,"1,146","1,318","2,175","2,753","3,207","3,679","5,422","6,615","6,687","10,897","14,606","11,966","11,555","14,497","13,994","13,122","18,090","15,774","17,386","14,591","16,850","21,706","20,665","24,902","21,294","26,437","23,540"
Yemen,73,46,47,82,81,51,70,73,69,61,64,62,57,47,70,65,69,68,47,43,36,55,58,57,53,58,21
